Bias(mV),Speed,Chain length (A),Probability
10,1,00:02,79.38
10,1,02:04,18.36
10,1,04:06,1.55
10,1,06:08,0.36
10,1,08:10,0
10,2,00:02,76.68
10,2,02:04,21.82
10,2,04:06,1.07
10,2,06:08,0.32
10,2,08:10,0.11
10,3,00:02,74.94
10,3,02:04,23.45
10,3,04:06,1.49
10,3,06:08,0.11
10,3,08:10,0
10,4,00:02,85.76
10,4,02:04,12.06
10,4,04:06,2.01
10,4,06:08,0.17
10,4,08:10,0
10,5,00:02,86.6
10,5,02:04,11.37
10,5,04:06,1.71
10,5,06:08,0
10,5,08:10,0
25,1,00:02,86.89
25,1,02:04,12.64
25,1,04:06,0.34
25,1,06:08,0
25,1,08:10,0
25,2,00:02,73.59
25,2,02:04,22.93
25,2,04:06,3.11
25,2,06:08,0.36
25,2,08:10,0
25,3,00:02,79.16
25,3,02:04,18.44
25,3,04:06,2.4
25,3,06:08,0
25,3,08:10,0
25,4,00:02,83.21
25,4,02:04,15.47
25,4,04:06,1.32
25,4,06:08,0
25,4,08:10,0
25,5,00:02,67.68
25,5,02:04,28.43
25,5,04:06,3.16
25,5,06:08,0.61
25,5,08:10,0.12
50,1,00:02,48.5
50,1,02:04,37.3
50,1,04:06,10.28
50,1,06:08,1.54
50,1,08:10,0.62
50,2,00:02,42.66
50,2,02:04,39.91
50,2,04:06,9.37
50,2,06:08,3.46
50,2,08:10,0.92
50,3,00:02,26.64
50,3,02:04,42.28
50,3,04:06,22.7
50,3,06:08,5.85
50,3,08:10,2.22
50,4,00:02,60.82
50,4,02:04,35.67
50,4,04:06,3.2
50,4,06:08,0.2
50,4,08:10,0.1
50,5,00:02,63.54
50,5,02:04,27.6
50,5,04:06,6.72
50,5,06:08,0.96
50,5,08:10,0.43
75,1,00:02,71.74
75,1,02:04,24.91
75,1,04:06,2.88
75,1,06:08,0.11
75,1,08:10,0
75,2,00:02,53.96
75,2,02:04,42.78
75,2,04:06,2.74
75,2,06:08,0.1
75,2,08:10,0
75,3,00:02,62.22
75,3,02:04,30.27
75,3,04:06,5.17
75,3,06:08,0.9
75,3,08:10,0.26
75,4,00:02,51.37
75,4,02:04,40
75,4,04:06,7.87
75,4,06:08,0.66
75,4,08:10,0.11
75,5,00:02,69.43
75,5,02:04,26.97
75,5,04:06,3.03
75,5,06:08,0.45
75,5,08:10,0.11
100,1,00:02,84.8
100,1,02:04,14.11
100,1,04:06,0.81
100,1,06:08,0.27
100,1,08:10,0
100,2,00:02,52.17
100,2,02:04,35.79
100,2,04:06,8.59
100,2,06:08,1.42
100,2,08:10,0.4
100,3,00:02,43.79
100,3,02:04,42.98
100,3,04:06,9.43
100,3,06:08,1.13
100,3,08:10,0.31
100,4,00:02,80.37
100,4,02:04,17.53
100,4,04:06,1.98
100,4,06:08,0.1
100,4,08:10,0
100,5,00:02,46.05
100,5,02:04,42.74
100,5,04:06,8.21
100,5,06:08,1.3
100,5,08:10,0.9
125,1,00:02,59.86
125,1,02:04,34.67
125,1,04:06,4.54
125,1,06:08,0.83
125,1,08:10,0.1
125,2,00:02,47.21
125,2,02:04,43.97
125,2,04:06,7.29
125,2,06:08,1.32
125,2,08:10,0.1
125,3,00:02,28.8
125,3,02:04,60.5
125,3,04:06,9.7
125,3,06:08,0.8
125,3,08:10,0
125,4,00:02,68.1
125,4,02:04,26.08
125,4,04:06,4.76
125,4,06:08,0.76
125,4,08:10,0
125,5,00:02,60.89
125,5,02:04,31
125,5,04:06,6.44
125,5,06:08,0.78
125,5,08:10,0
150,1,00:02,70.1
150,1,02:04,22.1
150,1,04:06,4.12
150,1,06:08,1.49
150,1,08:10,0.45
150,2,00:02,61.74
150,2,02:04,31.96
150,2,04:06,5.32
150,2,06:08,0.76
150,2,08:10,0
150,3,00:02,54.67
150,3,02:04,36.41
150,3,04:06,7.41
150,3,06:08,0.42
